Capitulo
titulo;idSerie;numTemp;numCap
Stress de primavera;3;1;1
El grito del sur. Casas Viejas;106;1;1
(#5.12);212;5;12
Buscando un Valium desesperadamente;212;2;4
Buscarse la vida;212;2;8
Bésame, Alicia;212;1;4
Cara de ángel;212;6;2
Caído del cielo;212;1;3
Cita a ciegas;212;5;9
Comunicando;212;2;2
Confidencias;212;5;8
Cosa Nostra;212;5;2
Deseo, pasión y paciencia;212;4;13
El fin del milenio;212;5;5
El guateque;212;2;6
El secreto del éxito;212;2;7
Ellos y ella;212;4;11
Elígeme;212;3;1
Enamorados;212;1;8
Esta niña es mía;212;4;4
Esta tía es una hermana;212;1;9
Esto es la guerra;212;4;12
Gimnasia y amnesia;212;5;1
La quimera del oro;212;1;13
La tentación vive abajo;212;5;4
La visita;212;2;11
Lecciones íntimas;212;4;6
Los amigos de los niños;212;4;5
Madam Alicia;212;4;3
Malas influencias;212;6;1
Mamá sale todas las noches;212;1;11
Mamá, papá... y la novia de papá;212;3;3
Margarita se llama mi amor;212;2;5
No me maltrates;212;1;5
Nímeros rojos;212;1;7
Padre no hay más que muchos;212;5;6
Papeles;212;1;2
Pequeño tirano;212;5;7
Petri woman;212;1;6
Predicando en el desierto;212;2;9
Revista de tropa;212;1;1
Seis en un sofá;212;1;10
Semana de pasión;212;3;4
Ser padres;212;5;10
Temor y temblor;212;1;12
Terapia de contacto;212;5;13
Una chica natural;212;2;10
Valiente San Valentín;212;5;3
El senyor Josep enganya a la dona i la dona del senyor Josep falta a lhome;241;1;2
Santiago Rusiñol: la vida;241;1;4
Adolphe et les menteuses;304;1;1
Martingale;304;1;2
Rendez-vous à Lisbonne;304;1;3
Retour;304;1;4
Instant Replay;336;2;9
Venus Flytrap;336;2;16
Párpados;367;1;13
Un instante en tu piel;367;1;10
(1986-02-10);390;1;1
Shanghai Lilly;642;4;1
La zapatera prodigiosa;683;2;3
Damunt lherba;698;1;1
Tots els que cauen;715;1;1
Albert i Francina;726;1;1
El Cafè de la Marina;726;1;2
La nau;726;1;3
La roda de la fortuna;726;1;4
Mnemos;752;1;1
Ball robat;992;1;1
El Tartuf;992;1;2
El verí del teatre;992;1;3
Homes i no;992;1;4
La llotja;992;1;5
Molt soroll per no res;992;1;6
Revolta de bruixes;992;1;7
Salomé;992;1;8
Sílvia Ocampo;992;1;9
En el barrio sobra siensia y lo que farta se inventa;1055;1;1
(#1.1);1087;1;1
(#1.10);1087;1;10
(#1.2);1087;1;2
(#1.3);1087;1;3
(#1.4);1087;1;4
(#1.6);1087;1;6
(#1.8);1087;1;8
(#1.9);1087;1;9
(#2.16);1087;2;16
(#2.22);1087;2;22
(#2.4);1087;2;4
(#2.5);1087;2;5
(1997-06-12);1087;1;5
(1997-06-19);1087;1;7
(1997-09-25);1087;1;11
(1997-10-02);1087;1;12
(1997-10-23);1087;1;13
(1997-11-13);1087;1;14
(1997-11-20);1087;1;15
(1997-11-27);1087;1;16
(1997-12-11);1087;1;17
(1997-12-25);1087;1;18
A toda pastilla;1087;1;19
Acusado;1087;1;20
Al pan, pan;1087;2;8
Borriquito como tú;1087;3;1
Bésame mucho;1087;2;13
Castillos en el aire;1087;2;1
Cincuenta tacos;1087;2;2
Con nueve basta;1087;2;3
Cosas de críos;1087;2;20
Cría cuervos;1087;2;23
Dime que me quieres;1087;2;14
El hombre del traje gris;1087;3;2
El niño del Pellizquito;1087;2;24
El que se fue a Sevilla;1087;2;12
Expediente F;1087;2;7
Fuimos novios;1087;2;11
Haciendo trampas;1087;2;25
Hogar, dulce hogar;1087;3;6
La abuela cumple 80 años;1087;3;4
La guerra del taxi;1087;2;26
La sombra de una duda;1087;2;10
La vida sigue igual;1087;2;27
La última carrera;1087;2;28
Las chicas son guerreras;1087;2;9
Llamando a las puertas del cielo;1087;2;17
Los niños no vienen de París;1087;2;19
Madre no hay más que dos;1087;2;29
Pareja de ases;1087;3;3
Rebelde con causa;1087;2;30
Regalo de pedida;1087;3;7
Sin perdón;1087;2;21
Sucedió una noche;1087;4;7
Tres meses y un día;1087;4;8
Tres no son multitud;1087;4;11
Un tranvía llamado deseo;1087;4;18
Y se armó el Belén;1087;4;15
Ya está aquí, ya llegó;1087;4;9
¡Fuego!;1087;4;5
¡Qué noche la de aquel fin de año!;1087;4;10
Més fort que la vida mateixa;1183;1;7
Elisabeth i Maria;1184;1;1
Alla ricerca di Sheherazade;1248;1;1
El hermano pequeño;1248;1;2
Il centravanti è stato assassinato verso sera;1248;1;3
La solitude du manager;1248;1;4
Padre, patrón;1248;1;5
Tal como éramos;1248;1;6
La sombra del delator;1406;1;3
Sonata de primavera;1432;1;1
Das Automobil;1501;1;6
Der Salonlöwe;1501;1;5
Die Braut;1501;1;3
Die Geburt;1501;1;1
Die Hochzeit;1501;1;7
Die Renovierung;1501;1;2
Die Wiege;1501;1;4
La opinión de Amy;1684;1;1
