Genero
idObra;genero
1248;thriller
1501;action
1501;adult
1501;family
1717;thriller
1721;fiction
1721;thriller
1726;action
1726;family
1726;historic
1726;thriller
1726;war
1728;action
1728;historic
1730;fiction
1733;fiction
1735;west
1741;action
1741;adult
1741;adventure
1741;family
1741;fiction
1741;musical
1741;science-fiction
1741;thriller
1741;war
1742;action
1742;war
1743;adult
1743;terror
1746;action
1746;terror
1746;thriller
1746;war
1753;war
1755;war
1756;action
1756;historic
1767;adult
1769;adult
1770;adult
1775;action
1775;adult
1775;family
1775;musical
1775;thriller
1775;war
1779;action
1779;comedy
1779;fiction
1779;terror
1779;thriller
1786;action
1789;family
1797;action
1801;adult
1802;action
1802;adult
1803;adult
1803;war
1805;action
1805;adult
1805;family
1805;thriller
1808;action
1808;thriller
1816;west
1817;action
1817;thriller
1817;war
1831;action
1831;thriller
1840;action
1841;adult
1843;adult
1851;adult
1851;family
1854;action
1857;action
1857;family
1857;war
1859;action
1860;action
1860;adventure
1860;fiction
1860;science-fiction
1860;thriller
1862;action
1862;drama
1862;fiction
1862;musical
1862;war
1863;war
1873;action
1873;adult
1873;historic
1873;thriller
1873;war
1877;action
1877;war
1878;action
1882;action
1882;adult
1882;adventure
1882;family
1882;musical
1882;war
1885;action
1885;adventure
1885;historic
1889;adult
1889;thriller
1890;action
1890;adult
1890;thriller
1890;west
1904;action
1904;family
1904;fiction
1904;musical
1904;terror
1904;thriller
1906;action
1906;adult
1906;adventure
1906;musical
1913;action
1913;adult
1913;adventure
1913;family
1913;historic
1913;musical
1913;thriller
1913;war
1915;musical
1917;adult
1917;thriller
1918;action
1918;adult
1918;adventure
1918;family
1918;musical
1918;terror
1918;thriller
1918;war
1921;action
1921;musical
1933;action
1933;adult
1933;family
1933;fiction
1933;historic
1933;thriller
1936;adult
1936;family
1937;action
1941;action
1942;action
1949;war
1950;action
1964;action
1974;adult
1974;family
1974;historic
1974;thriller
1976;action
1982;action
1982;adult
1982;family
1982;war
1988;adult
1988;historic
1990;action
1996;action
1996;adult
1997;action
1997;adult
1998;action
1998;adult
2004;action
2005;action
2005;adult
2005;family
2005;thriller
