Obra
idObra;titulo;fechaProduccion
1;003 y medio;1979
2;10 + 2;1994
3;13 x 13;1987
4;135 escons;1986
5;24 imágenes por segundo;1977
6;3, 2, 1... contacto;1982
7;30 minutos;1991
8;30 minuts;1984
9;300 millones;1977
10;35 millones de españoles;1975
11;3res 14torze 16tze;1989
12;3x4;1986
13;48 horas;1987
14;625 líneas;1976
15;7 vidas;1999
16;A cara descuberta;1995
17;A cociñar con Paco Feixó;1994
18;A conta atrás;1992
19;A contrafío;1987
20;A debat;1989
21;A debate;1990
22;A dos de cinc, te o cafè?;1988
23;A dúas bandas;1986
24;A Electra le sienta bien el luto;1986
25;A familia mudanza;1993
26;A familia Pita;1996
27;A fondo;1976
28;A lest del Besòs;1988
29;A la calle;1990
30;A la caza del tesoro;1984
31;A las diez en casa;1995
32;A las ocho con Raffaella;1993
33;A las once en casa;1998
34;A media tarde;1985
35;A media voz;1987
36;A mediodía, alegría;1992
37;A mellor tv do mundo;1987
38;A mi manera;1989
39;A noite das badaladas;1988
40;A noite en blanco;1998
41;A otra cosa;1993
42;A pie de página;1991
43;A pie, en bici o en moto;1982
44;A por todas;1990
45;A quién se le ocurre;1995
46;A Reoca;1990
47;A repanocha;1996
48;A revista;1990
49;A saúde;1993
50;A simple vista;1975
51;A su salud;1997
52;A su servicio;1994
53;A terra;1986
54;A toda página;1994
55;A toda risa;1999
56;A tope;1987
57;A trabe de ouro;1986
58;A través del espejo;1988
59;A tres bandes;1988
60;A tumba aberta;1988
61;A vista de pájaro;1986
62;A ze parea;1994
63;Abierto por vacaciones;1993
64;Acción D.F.;1998
65;Acompáñame;1992
66;Actors en primer pla;1983
67;Ada Madrina;1999
68;Adivina quien viene esta noche;1989
69;Adivina quién miente esta noche;1994
70;Adiviña quen vén esta noite;1990
71;Agenda informativa;1986
72;Agrosfera;1995
73;Agència de viatges;1993
74;Ahora o nunca;1992
75;Ahí te quiero ver;1984
76;Això no és tot!;1996
77;Això és massa!;1991
78;Al ataque;1992
79;Al compás de la copla;1996
80;Al filo de la ley;1993
81;Al galope;1984
82;Al grano;1994
83;Al habla;1998
84;Al mil por mil;1983
85;Al salir de clase;1997
86;Alcores;1981
87;Aleph, lectures contades;1999
88;Alerta 112;1998
89;Alex y Alexis;1998
90;Algo más que flamenco;1998
91;All in the Game;1993
92;Alquibla;1988
93;Alta tensión;1998
94;Amb el cor a la mà;1995
95;Amb laigua al coll;1990
96;Ambiciones;1998
97;Amor a primera vista;1991
98;Amor a primera vista;1992
99;Amor a primera vista;1997
100;Amor a primera vista;1998
101;Amor meu;1981
102;Amor, salut i feina;1987
103;América total;1996
104;Ana;1996
105;Andalucía Directo;1998
106;Andalucía, un siglo de fascinación;1996
107;Andante;1977
108;Anillos de oro;1983
109;Antena 3 directo;1997
110;Antena 3 noticias;1990
111;Antología de la zarzuela;1979
112;Antonio Machado, a lomos de una quimera;1998
113;Apaga a luz;1999
114;Apaga y vámonos;1995
115;Aperitiu amb...;1983
116;Aplauso;1978
117;Aquest any, cent!;1998
118;Aquí hay negocio;1995
119;Aquí hemos venido a lo que hemos venido;1995
120;Aquí jugamos todos;1995
121;Aquí no hay quien duerma;1995
122;Aquí y ahora;1975
123;Arco de triunfo;1991
124;Arestora;1988
125;Arnau;1994
126;Arroz con chícharos;1990
127;Arsenal Atlas;1987
128;Arsenal;1985
129;Art Attack;1999
130;Art Flash;1981
131;Arévalo y cia;1994
132;As de ouros;1989
133;Así como suena;1982
134;Así es la vida;1993
135;Así es la vida;1999
136;Así fue, así lo cuentan;1987
137;Así son las cosas;1997
138;Atac i gol;1991
139;Atrévete a soñar;1998
140;Auambabuluba balambambú;1985
141;Auga de verán;1989
142;Aula 2001;1986
143;Autor por autor;1997
144;Autorretrato;1984
145;Autors catalans davui;1983
146;Autògrafs;1996
147;Aventura 92;1989
148;Avisans quan arribi el 2000;1997
149;Avui per demà;1991
150;Axut;1998
151;Ay Lola, Lolita, Lola;1995
152;Ay, vida mía;1992
153;Bajo cero;1998
154;Bambán Club;1991
155;Barcelona 1992: Games of the XXV Olympiad;1992
156;Barcelona: Juegos de sociedad;1992
157;Barney;1988
158;Barrio Sésamo;1979
159;Bellezas al agua;1990
160;Bellezas en la nieve;1991
161;Benvinguts;1984
162;Berenar a Sant Cugat;1984
163;Bertan Zoro;1991
164;Betes i films;1990
165;Bi eta bat;1991
166;Biblioteca Nacional;1982
167;Bis a vis;1998
168;Bit a bit;1995
169;Bit-TVE;1992
170;Bla, bla, bla;1981
171;Blanc o negre;1987
172;Blanco y negro;1981
173;Blasco Ibáñez;1997
174;Boa noite;1985
175;Bobobobs;1988
176;Bojos pel ball;1997
177;Bon dia, Catalunya;1992
178;Bonic vespre;1996
179;Botó fluix;1986
180;Bravo, bravísimo;1995
181;Bricomanía;1994
182;Brigada central 2: La guerra blanca;1992
183;Brigada central;1989
184;Buenas noches;1982
185;Buenos días;1986
186;Buenos días, Madrid;1993
187;Buscamos unha estrela;1994
188;Butaca de patio;1989
189;Búscate la vida;1986
190;Cada día;1998
191;Cada mañana;1991
192;Café con leche;1998
193;Café, café;1993
194;Caiga quien caiga;1996
195;Caja de ritmos;1983
196;Cajón desastre;1988
197;Cala mar;1999
198;Caliente;1991
199;Calle nueva;1997
200;Camino de Santiago;1999
201;Campanadas de Fin de Año;1990
202;Campanadas del año;1990
203;Campeones de la playa;1994
204;Canal 24 horas;1997
205;Canarias Noticias;1990
206;Canciones de nuestra vida;1997
207;Canciones de una vida;1979
208;Canciones de verano;1995
209;Canciones del desván;1975
210;Candel;1987
211;Candilejas;1985
212;Canguros;1994
213;Cantando se hace camino;1977
214;Cantantes y sonantes;1985
215;Cantares;1978
216;Cap problema;1996
217;Capelito;1999
218;Captain James Cook;1987
219;Captain Star;1997
220;Cara a cara;1999
221;Carandelario;1990
222;Carme i David, cuina, menjador i llit;1984
223;Carmen y familia;1996
224;Cartafol;1989
225;Cartelera;1994
226;Casa para dos;1995
227;Castillos en el aire;1999
228;Catalunya avui;1999
229;Català amb nosaltres;1978
230;Cañas y barro;1978
231;Celia;1993
232;Cent anys de cançons;1999
233;Centro médico;1997
234;Centros de poder;1994
235;Cerca de las estrellas;1989
236;Cerca de tí;1993
237;Cervantes;1980
238;Chambo;1999
239;Chantatachan;1992
240;Cicle Ibsen;1984
241;Cicle Santiago Rusiñol;1981
242;Cifras y letras junior;1993
243;Cifras y letras;1991
244;Cine de barrio;1995
245;Cinema 100;1995
246;Cinema 3;1984
247;Cinéma;1988
248;Circo pop;1988
249;Cita amb...;1982
250;Cita con Apeles;1997
251;Cita con la vida;1993
252;Ciudad abierta;1994
253;Ciudades perdidas;1988
254;Ciutadans;1994
255;Clan Clip;1989
256;Clar i català;1981
257;Clase media;1987
258;Clip, clap, video;1991
259;Clip-Club;1986
260;Clipmanía;1992
261;Club Disney;1989
262;Club Megatrix;1995
263;Club Super 3;1991
264;Coa miña xente;1992
265;Cocina con fundamento;1998
266;Colegio mayor;1994
267;Com a casa;1989
268;Comer es un placer;1994
269;Como la vida misma;1992
270;Como la vida;1999
271;Como Pedro por su casa;1985
