Personaje
idPersonaje;descripcion
1;Tina
2;Gela
3;Mimoso
4;Rocky Chaparro
5;Himself
6;Herself - Hostess
7;Host
8;Hostess
9;Himself - Host
10;Himself - Guest
11;Herself
12;Herself - Host
13;Himself - Hostess
14;Herself - Guest
15;Señorita Teté
16;Don Armando
17;Staf humonrist
18;Himself - Reporter
19;Herself - Reporter
20;Himself - Reporeter
21;Himelf - Repoter
22;Narrator
23;Jaime
24;Various Characters
25;Himself - Reportero
26;Palomino
27;Herself - Co-hostess
28;Marisa
29;Bárbara
30;Nuria
31;Sócrates
32;Leo
33;Andrea
34;Sectarian #1
35;Damián
36;Enrique
37;Derek Horsfield
38;Roberto Gámez
39;Nick Young
40;Hugo Barresco
41;Jesus Vila
42;Kenny Dawes
43;Eva
44;Wim Cuipers
45;President Vaqueras
46;Rafael Jiménez
47;Freddie Matthews
48;Lil Matthews
49;Jane
50;Jordi Bassas
51;Lindy Barge
52;Young Darren Matthews
53;Manuel Utrillo
54;Jesper Petersen
55;Ted Yale
56;English Journalist
57;Alex Harper
58;Ray Peters
59;Jasper
60;Hotel Receptionist
61;Journalist
62;Weeks
63;Darren Matthews
64;Senora Torbado
65;Emilio Canillas
66;Doctor
67;Thomas
68;Claire Travis
69;Hampson
70;Alfredo
71;Denise
72;Himself - Co-Host
73;Herself - Co-Host
74;Cura
75;José Toro
76;Catedrático Historia Económica Universidad Sevilla
77;Paca Lago
78;Historiador
79;Médico
80;militante CNT
81;Alcalde
82;Seisdedos
83;teniente Artal
84;Manuel García Benítez
85;capitán Rojas
86;Director Filmoteca Dadaísta
87;Teniente
88;Periodista
89;José Silva
90;Operador inglés
91;Delegado del gobernador
92;María Silva
93;Andrés Quijada
94;Himself - Staff Humorist
95;Cliente catalan
96;Pupo
97;Herself - Co -Hostess
98;Guillem
99;Mamburg
100;Co-host
101;Herself - Colaboradora
102;Himself - Colaborador
103;Himself -Guest
104;Barney
105;Roger
106;Camelia
107;Caracol Perezgil
108;Bluki
109;Basilio
110;Antonio
111;Ana
112;Gallina Caponata
113;Emma
114;Ruth
115;Adela
116;Cristina
117;Petri
118;Roberto
119;Matilde
120;Susana
121;Julián
122;Jesús
123;Desi
124;Chema
125;Don Pimpón
126;Espinete
127;Joselontxo
128;Staff Humorist
129;Informàtic
130;Informàtica
131;Old writer
132;La Bella Otero
133;Azzati
134;Julio César
135;Joaquín Sorolla
136;Mata-Hari
137;Rosalía de Castro
138;María
139;Blascos friend
140;Senent
141;Cupletera
142;Laurence
143;Herself - Newsreader
144;Himself - Guest host
145;Julio
146;Patricia
147;El abuelo
148;Julia
149;Ramón
150;Florencio
151;Raquel
152;Xoan Castro
153;Pieter
154;Lisa Horn
155;Professor Marcelo Rinaldi
156;Pepa
157;Tea
158;Sebastián
159;Of. Díaz
160;Boy in bar
161;William Derek
162;Receptionist
163;Gonzalo Leyva
164;El casero
165;Fede
166;Helena
167;Almudena Marroquí
168;Alicia Valle
169;Nancy
170;Amparo
171;Sara
172;Jorge
173;Rita
174;Micky
175;Eugenio
176;Pirómano
177;Toni
178;Padre
179;Dani
180;Madre de Dani
181;Angelito
182;Paula
183;Teresa
184;Pablo
185;Madre de Pablo
186;Niña
187;Niño
188;Augusto
189;Francisco Javier
190;Fermín
191;Tamara, niña
192;Alejandro Muñoz
193;Vecino
194;Amigo de Alejandro
195;Vecina
196;Abuela de Alicia
197;Doña Justa
198;Pilar
199;Concha
200;Milagros
201;Isi
202;Niño Guillermo
203;Lola
204;Mateo
205;Viri
206;La niña
207;Arturo
208;Catedrática
209;Víbora
210;Cipri
211;Jimmy Molina
212;Amalio
213;Portero
214;Rogelio
215;Lt. Furneaux
216;Parita
217;Dr. Daniel Solander
218;Lt. King
219;Lt. Pickersgill
220;Lord Johnny Sandwich
221;Old Salt
222;Alexander Dalrymple
223;Joseph Banks
224;Sgt. Samuel Gibson
225;Lt. John Gore
226;Lt. Phillips
227;Lt. John Williamson
228;Queen Oberea
229;Wilkinson
230;King George III
231;Capt. James Cook
232;Young Nick
233;Surgeon William Perry
234;Lt. Cooper
235;Cmdr. Charles Clarke
236;George Forster
237;Lt. Zachariah Hicks
238;Adm. Sir Edward Hawke
239;Surgeon Monkhouse
240;Adm. Sir Hugh Palliser
241;Tupaia
242;Johann Reinhold Forster
243;William Bligh
244;Himself - Interviewer
245;Tío Aparisi
246;Himself - Ilusionista
247;Henri Marquet
248;Gottlieb
249;Rocco
250;Elena Sampieri
251;Julien Manda
252;Marguerite
253;Lulu
254;Clara Moranti
255;Cissy
256;Giaccobi
257;Arturo Dupuis
258;Caroline
259;Damiani
260;Marchenaz
261;Carlin
262;Kès
263;Ruïnosa
264;Krust
265;Lèmak
266;Emilio
267;Víctor
268;Oscar
269;Toñito Blanco
270;Serafín Cordeiro
271;Antón Peruleiro
272;Dancer
273;Victoria
274;Isabelle Meyral
275;Alphonse Malard
276;Salam
277;Boissiere
278;Ali
279;Mohamed
280;The Bartender
281;The Driver
282;David
283;Helen
284;Evelina
285;Monsieur Laurent
286;Dennis
287;Mo
288;Taxi Driver
289;Charles Dunoy
290;Caretaker
291;Jerome
292;Sean OBrien
293;Tonio
294;Taxi Passenger
295;Shop Assistant
296;Intruder
297;Mrs. Smith
298;Mrs. Goldman
299;Suzanne
