Esta
idObra;idActor
1;4732
1;26909
1;27474
1;35246
1;36073
2;3905
2;4611
2;5679
2;7104
2;7486
2;7731
2;9021
2;13409
2;15357
2;16113
2;18036
2;19188
2;19539
2;19551
2;29447
2;29451
2;29452
2;27957
2;31177
2;38322
4;748
4;3367
4;6055
4;16618
4;22034
4;31847
4;33529
4;34094
5;28777
5;35682
6;4633
6;22750
6;31187
6;31987
7;28563
9;22269
9;28019
10;1359
10;28777
11;12885
13;77
13;11709
13;21509
13;32732
13;33145
14;28777
15;13148
15;30077
16;25998
16;31043
16;31270
16;33281
17;12384
18;14652
18;18166
18;31113
18;37298
18;37235
19;6445
19;14381
19;27056
21;2753
23;1891
23;26937
23;37173
25;4386
25;5009
25;11308
25;14652
25;38728
26;319
26;1919
26;4918
26;5009
26;6845
26;7177
26;7251
26;11344
26;13799
26;13832
26;14570
26;15414
26;15736
26;19869
26;21096
26;21516
26;21754
26;23037
26;23374
26;23875
26;24420
26;24911
26;25003
26;25304
26;27401
26;29208
28;971
28;25829
29;36070
30;29498
30;35682
30;36693
32;20071
33;799
33;802
33;12474
34;14520
34;28006
36;23161
36;32266
37;15
37;7484
37;29679
37;35165
38;6121
38;6130
38;13872
38;15796
38;17402
38;34791
39;8479
39;28261
39;28595
40;130
40;4438
40;10599
40;13519
40;15559
40;18184
40;20936
40;28244
40;28952
40;32571
40;35257
40;32991
40;37225
42;31179
42;36800
44;6345
45;160
46;4386
46;5012
46;10349
46;11308
46;28884
47;4398
47;8977
47;15907
47;20868
47;28563
47;29041
48;1277
48;2484
48;2485
48;2839
48;2899
48;4156
48;5647
48;5715
48;6908
48;7195
48;10256
48;11950
48;12669
48;13113
48;14565
48;14659
48;15585
48;17384
48;17426
48;20015
48;20568
48;20818
48;21681
48;21724
48;24710
48;27710
48;27745
48;27791
48;29163
48;28048
48;32244
48;34844
48;37757
48;9565
48;10027
49;22879
49;28563
50;1449
50;38574
51;22127
51;31688
52;3056
52;5202
52;14204
52;21881
52;31364
52;36587
53;28245
55;88
55;16490
55;19221
55;25051
55;27639
55;33230
55;35249
55;38555
56;29942
56;31559
57;5675
57;7225
57;13593
57;33832
60;4138
60;4383
60;6517
60;6844
60;7851
60;8310
60;11308
60;12241
60;14652
60;14902
60;15880
60;19991
60;21754
60;27608
60;30110
60;37068
60;37884
61;572
61;690
61;3185
61;10306
61;22463
61;31528
61;32169
61;33447
61;10180
61;10210
62;1705
62;3067
62;5891
62;20360
62;27121
62;35657
64;1189
64;12306
64;18100
65;14943
65;36974
67;12520
67;17763
67;23456
67;23478
67;28090
67;31989
67;34597
67;38013
68;3164
68;28322
68;32983
69;7022
69;8993
70;6840
70;14652
70;14902
70;17968
70;26758
71;2108
72;20779
73;2142
73;19538
75;10605
78;2260
78;5381
78;6488
78;12609
78;16211
78;22859
78;32648
78;35945
79;17792
79;17798
79;17803
79;34116
79;37637
79;10021
80;8722
80;22992
81;16
81;16322
81;38000
82;2914
82;4055
82;29418
82;33999
83;13496
83;17305
83;34023
84;37201
85;8064
85;8619
85;8993
85;11980
85;14593
85;15584
85;17203
85;18590
85;24199
85;24498
85;24627
85;25641
85;27019
85;28064
85;30346
85;30715
85;31948
85;35645
85;36008
85;38818
87;4568
87;8727
87;11759
87;12307
88;5684
88;15515
88;32947
88;35475
88;10040
89;15006
89;29015
89;36134
89;10204
90;330
90;2946
90;17403
90;24175
90;33007
90;37910
90;10138
91;1476
91;1545
91;2072
91;4827
91;5347
91;5499
91;6744
91;7643
91;7772
91;7963
91;8064
91;8675
91;8779
91;11586
91;13226
91;13336
91;16909
91;17016
91;17439
91;17579
91;17778
91;18427
91;18900
91;19095
91;19421
91;20133
91;20294
91;20303
91;21850
91;23057
91;23239
91;23247
91;23249
91;24266
91;24579
91;25156
91;26427
91;26454
91;26795
91;29284
91;29377
91;30302
91;31990
91;32176
91;32470
91;32606
91;33106
91;34171
91;34944
91;37148
92;6671
92;16057
92;22612
92;9648
93;7967
93;16332
93;25796
96;3317
97;5065
97;8977
97;21539
97;27489
97;1267
97;3164
97;32633
102;2830
102;27831
103;33336
104;27100
105;3156
105;8828
105;10584
107;23311
109;7138
109;20629
109;29607
111;3568
111;4360
111;7387
111;11387
111;13964
111;14209
111;19172
111;26710
111;10192
112;6422
112;10782
112;12392
112;17742
112;19462
112;26126
112;27626
112;35404
113;900
113;5729
113;5927
113;25003
113;28612
113;29208
113;37224
114;22119
114;28748
114;36990
114;38999
116;2200
118;8174
118;11245
118;18120
119;25021
119;25259
121;37344
122;5857
123;14943
123;27198
124;5647
124;6840
124;12444
124;14652
124;15220
124;15748
124;27668
124;31193
124;31811
124;32037
124;36173
124;37884
125;4884
125;13226
125;16026
125;24266
125;28709
125;28043
125;30207
125;34677
125;36334
126;3036
126;4435
126;9289
126;18399
126;19045
126;27194
126;27608
126;29442
127;3702
127;28925
127;28972
128;3702
128;5398
128;28925
132;12796
132;28260
132;33431
133;34798
134;8750
134;17305
134;17353
134;25540
134;14664
134;25253
134;33764
137;1506
137;13252
137;19554
137;27259
137;31863
137;33159
138;8929
138;10728
138;15751
138;27274
139;12702
139;32253
141;3178
141;5228
141;24612
141;26701
141;29486
141;31249
141;37184
142;5571
142;11353
142;13298
142;37561
143;405
143;19345
143;21797
143;28022
143;31260
146;15999
146;27074
147;1528
147;22284
147;23566
147;28777
147;29498
147;32951
149;12167
152;22270
153;8977
153;21538
153;21539
153;26863
154;8314
154;12444
154;13159
154;18341
154;24536
154;25995
154;27922
154;29280
154;31193
154;34876
154;37809
155;3093
155;3435
155;3551
155;4306
155;5320
155;6392
155;7817
155;9387
155;10498
155;10508
155;11163
155;11488
155;12120
155;13097
155;14655
155;16098
155;16635
155;16778
155;17075
155;17090
155;17671
155;18549
155;18608
155;18684
155;18685
155;20180
155;20207
155;21095
155;21307
155;23050
155;23906
155;23927
155;23960
155;26222
155;28228
155;28634
155;28969
155;27875
155;30056
155;31287
155;33623
155;35038
155;35094
155;35821
155;36092
155;38464
155;38488
155;38590
155;38920
155;9485
155;36992
156;22284
157;2844
157;4733
157;5283
157;8055
157;10453
157;11642
157;13569
157;16173
157;16871
157;19155
157;20186
157;20558
157;23212
157;27038
157;29981
157;30161
157;35409
158;647
158;1361
158;3855
158;5874
158;5978
158;7213
158;7462
158;8112
158;8269
158;8453
158;13806
158;15357
158;16046
158;17485
158;18036
158;22733
158;23150
158;25344
158;26277
158;26729
158;30015
158;30547
158;30634
158;31318
158;32214
158;34120
158;32956
158;36028
158;36919
158;37625
158;38078
160;12875
160;13161
160;33378
161;31921
163;970
163;1613
163;1705
163;3094
163;11538
163;27442
164;8371
164;33423
165;3881
165;13782
165;14712
165;18113
165;20366
165;26250
165;34808
165;38697
166;32811
167;84
167;6157
167;10349
167;14325
167;17932
167;20779
167;21346
167;25102
167;26902
167;27250
167;27265
167;27608
167;27901
167;28563
167;28130
167;31232
167;33155
167;37927
167;37183
167;37220
169;6780
169;7946
171;4244
171;7908
171;11866
171;20813
171;27255
171;38781
172;34798
173;808
173;1039
173;1406
173;1716
173;5874
173;8183
173;9006
173;10073
173;11420
173;11541
173;12420
173;12886
173;13762
173;16124
173;16599
173;17516
173;17733
173;17931
173;18136
173;21075
173;23506
173;24680
173;27481
173;27752
173;28935
173;28158
173;29787
173;30245
173;32674
173;33468
173;35946
173;37722
173;38241
174;1752
174;6010
174;7027
174;9288
174;10069
174;14902
174;16050
174;17827
174;20934
174;27581
174;27911
174;31061
175;4240
175;9433
175;9434
175;39012
175;39013
176;14948
176;36720
178;1543
178;5381
179;1854
179;2862
179;3028
179;8635
179;10807
179;11846
179;12093
179;35709
179;9846
179;9927
180;2207
180;19835
180;31406
181;36675
182;14158
182;16031
182;20297
182;33638
183;14158
183;21441
183;22905
183;30232
183;34842
