Interpreta
idObra;idActor;idPersonaje
1;4732;1
1;26909;2
1;27474;3
1;36073;4
4;748;5
4;3367;5
4;6055;5
4;16618;5
4;22034;5
4;31847;5
4;33529;5
4;34094;5
5;35682;6
6;4633;7
6;22750;8
6;31187;8
6;31987;7
7;28563;9
10;1359;9
10;28777;7
13;77;9
13;11709;7
13;21509;7
13;32732;9
13;33145;8
16;25998;10
16;31043;10
16;31270;6
16;33281;5
17;12384;9
18;31113;10
18;37298;6
18;37235;10
19;14381;6
21;2753;9
23;1891;9
23;26937;10
23;37173;10
25;4386;9
25;5009;6
25;11308;9
29;36070;8
30;29498;9
30;35682;6
32;20071;11
36;23161;7
36;32266;12
37;15;9
37;7484;13
37;29679;13
37;35165;13
38;6121;12
38;6130;11
38;13872;11
38;15796;5
38;17402;11
38;34791;12
39;28261;9
40;4438;5
40;10599;10
40;13519;10
40;15559;10
40;18184;10
40;20936;10
40;28244;10
40;28952;14
40;32571;10
40;35257;14
40;32991;14
40;37225;14
42;36800;9
44;6345;7
46;5012;7
46;10349;15
46;11308;16
46;28884;17
47;4398;12
47;15907;9
48;2484;18
48;2899;19
48;4156;19
48;5647;6
48;5715;20
48;6908;6
48;7195;19
48;10256;18
48;11950;18
48;12669;18
48;13113;18
48;14565;19
48;14659;18
48;15585;19
48;17426;19
48;20015;18
48;20568;19
48;20818;19
48;21681;18
48;21724;19
48;24710;21
48;27710;9
48;27745;18
48;27791;19
48;28048;18
48;32244;6
48;34844;6
48;37757;19
48;9565;19
48;10027;6
49;22879;9
50;1449;7
51;31688;11
53;28245;9
55;88;6
55;16490;10
55;19221;10
55;25051;14
55;27639;14
55;33230;14
55;38555;10
57;5675;11
57;7225;11
57;13593;9
57;33832;5
60;4383;5
60;6517;11
60;8310;9
60;14902;5
60;19991;5
60;37068;11
60;37884;5
61;10210;22
64;1189;22
65;14943;11
67;31989;23
68;3164;11
70;6840;14
70;14902;9
70;26758;14
71;2108;7
78;2260;9
78;5381;24
78;6488;25
78;12609;24
78;16211;26
78;16211;24
78;22859;5
78;22859;24
78;35945;11
79;17792;11
79;17798;11
79;17803;11
79;34116;11
79;37637;6
79;10021;11
80;22992;12
81;16;6
81;38000;7
82;2914;11
82;4055;5
82;29418;5
82;33999;11
83;17305;27
84;37201;7
85;8064;28
85;11980;29
85;24199;30
85;24498;31
85;25641;32
85;28064;33
85;31948;34
85;35645;35
85;36008;36
88;5684;5
88;32947;5
88;35475;11
88;10040;11
90;330;11
90;2946;6
90;17403;5
90;24175;11
90;33007;9
90;37910;5
91;1476;37
91;1545;38
91;2072;39
91;5347;40
91;6744;41
91;7963;42
91;8064;43
