Participa
idObra;idRealizacion
26;15414
26;24911
39;28595
91;25156
112;26126
143;405
163;27442
183;36561
192;36309
200;2168
212;32082
218;17073
233;15115
238;24478
253;7372
330;31045
337;433
365;19278
368;10886
368;19899
368;23300
379;19278
396;16387
418;34422
425;6880
509;16738
526;12550
530;4269
577;22654
577;25703
577;30738
577;37296
628;19678
650;21185
653;26027
721;2168
749;31782
750;32490
777;21331
780;34559
781;25454
784;31103
784;9660
825;19282
882;21237
909;14852
926;12149
940;14236
945;12550
959;32625
974;5682
985;19278
1010;32490
1014;2168
1021;19278
1025;1242
1068;8135
1068;12281
1078;28037
1114;13267
1151;736
1159;17260
1178;15414
1182;10535
1204;37475
1213;15414
1217;18207
1217;24184
1217;27076
1222;5616
1222;12149
1277;18725
1305;14236
1306;16879
1306;24946
1307;32490
1331;2441
1341;19282
1344;34597
1347;28557
1377;14236
1430;15157
1440;23444
1503;17611
1552;36309
1553;472
1561;35139
1563;12073
1565;16933
1585;31356
1605;13477
1614;20895
1621;21460
1626;36561
1636;23351
1638;30269
1666;15157
1679;14236
1717;31625
1719;37170
1720;2530
1721;12149
1722;2697
1725;36561
1726;4229
1728;32015
1733;405
1734;24850
1735;17193
1736;24250
1737;38458
1738;7584
1738;34118
1738;36667
1740;2564
1741;405
1742;19269
1743;4079
1744;12550
1745;1699
1745;2204
1746;10862
1746;33837
1749;10161
1750;2697
1752;36309
1753;33873
1754;5480
1755;14236
1756;12411
1757;15579
1758;12550
1759;10347
1760;15474
1761;12743
1762;24912
1763;23131
1764;25380
1767;11741
1768;29704
1770;34668
1771;2530
1772;10304
1773;27947
1774;31400
1775;5480
1776;31782
1777;37695
1778;9852
1779;16668
1780;28619
1781;34597
1782;9003
1783;28712
1786;11891
1787;16668
1788;5171
1789;650
1790;21686
1791;12550
1792;27330
1793;9721
1795;13514
1797;5319
1798;14236
1799;36788
1800;27834
1801;22087
1802;34030
1802;36309
1803;24208
1804;13532
1805;2658
1807;21172
1808;10347
1810;18491
1811;30024
1812;405
1813;31356
1814;14942
1814;37803
1815;11595
1816;34721
1818;405
1819;4079
1820;27960
1820;32044
1821;37706
1823;27408
1824;650
1825;41
1826;20895
1827;27947
1830;34597
1831;36309
1832;36561
1833;34314
1834;21459
1836;21911
1837;20678
1837;20789
1838;27834
1839;30438
1840;11741
1841;34597
1842;26952
1842;32539
1843;24991
1844;27834
1845;17699
1845;22386
1845;23936
1845;36669
1846;21789
1848;32911
1851;32625
1852;13475
1852;17649
1853;35139
1854;25547
1855;703
1856;14251
1857;7595
1858;2587
1859;27947
1860;36309
1861;38618
1862;7292
1863;10347
1864;32044
1868;27887
1870;12550
1871;11672
1872;24794
1873;650
1874;12422
1875;2810
1876;27766
1877;11800
1878;37946
1879;17280
1880;20895
1881;37946
1882;12411
1884;29373
1885;33964
1886;4079
1887;27834
1888;3657
1889;28571
1890;31806
1891;24208
1892;37928
1893;29353
1894;9721
1895;16670
1896;27947
1897;36958
1898;4079
1899;15218
1901;17699
1902;22636
1903;15579
1904;7933
1905;24850
1906;31356
1908;10347
1909;32466
1910;27834
1912;34676
1913;11741
1915;405
1916;11741
1917;37946
1918;2168
1920;405
1921;31356
1922;18617
1923;14236
1924;10347
1925;21619
1926;5063
1927;5463
1928;4077
1929;15623
1930;17193
1930;27960
1931;7017
1932;36309
1933;12550
1934;30428
1934;35623
1935;34676
1936;36212
1937;32220
1939;27947
1940;31003
1941;14942
1942;14942
1943;25846
1945;36193
1946;976
1947;9060
1949;6727
1950;30391
1951;34597
1952;22386
1952;26952
1954;16668
1955;650
1956;26655
1958;31356
1959;31356
1960;25846
1961;25846
1962;12550
1963;30428
1964;32625
134;20055
1966;27330
1967;36395
1968;33355
1969;29556
1970;31180
1971;22526
1973;27947
1974;16668
1975;35884
1976;5063
1978;14236
1979;28712
1980;5952
1981;9532
1982;28860
1983;28712
1984;28712
1985;34676
1986;36137
1987;25997
1988;17555
1989;25547
1990;5480
1991;17391
1992;32631
1993;650
1994;30438
1995;7985
1996;14236
1996;31356
1997;16668
1998;16668
1999;30428
2000;34668
2001;30728
2002;32625
2004;27988
2005;10347
2006;423
2006;33304
