Serie
idSerie;fechasEmision
1;1979-1980
2;1994-2004
3;1987-1988
4;1986-????
5;1977-1978
6;1982-1991
7;1991-1993
8;1984-????
9;1977-1983
10;1975-????
11;1989-????
12;1986-1990
13;1987-1989
14;1976-1981
15;1999-2006
16;1995-????
17;1994-????
18;1992-????
19;1987-????
20;1989-????
21;1990-????
22;1988-????
23;1986-????
24;1986-????
25;1993-????
26;1996-????
27;1976-1981
28;1988-????
29;1990-1991
30;1984-????
31;1995-????
32;1993-1994
33;1998-1999
34;1985-1988
35;1987-1989
36;1992-1993
37;1987-????
38;1989-1991
39;1988-????
40;1998-????
41;1993-????
42;1991-1992
43;1982-????
44;1990-????
45;1995-????
46;1990-????
47;1996-????
48;1990-????
49;1993-????
50;1975-????
51;1997-2004
52;1994-1995
53;1986-????
54;1994-1997
55;1999-????
56;1987-1988
57;1986-????
58;1988-1990
59;1988-????
60;1988-????
61;1986-1991
62;1994-????
63;1993-????
64;1998-2000
65;1992-????
66;1983-????
67;1999-????
68;1989-????
69;1994-????
70;1990-????
71;1986-1987
72;1995-????
73;1993-????
74;1992-????
75;1984-1987
76;1996-????
77;1991-????
78;1992-1993
79;1996-????
80;1993-????
81;1984-1985
82;1994-????
83;1998-2003
84;1983-1986
85;1997-2002
86;1981-1983
87;1999-2001
88;1998-2004
89;1998-????
90;1998-????
91;1993-????
92;1988-????
93;1998-2000
94;1995-????
95;1990-????
96;1998-1998
97;1991-????
98;1992-????
99;1997-????
100;1998-????
101;1981-????
102;1987-????
103;1996-2004
104;1996-1999
105;1998-????
106;1996-????
107;1977-????
108;1983-????
109;1997-2001
110;1990-????
111;1979-1980
112;1998-????
113;1999-????
114;1995-????
115;1983-????
116;1978-1983
117;1998-1999
118;1995-????
119;1995-????
120;1995-????
121;1995-1996
122;1975-1976
123;1991-????
124;1988-????
125;1994-????
126;1990-1992
127;1987-????
128;1985-1987
129;1999-????
130;1981-????
131;1994-1999
132;1989-????
133;1982-1983
134;1993-1999
135;1999-????
136;1987-????
137;1997-????
138;1991-1994
139;1998-????
140;1985-1986
141;1989-????
142;1986-????
143;1997-????
144;1984-1985
145;1983-????
146;1996-????
147;1989-1991
148;1997-????
149;1991-????
150;1998-????
151;1995-????
152;1992-1993
153;1998-1999
154;1991-????
155;1992-????
156;1992-????
157;1988-1989
158;1979-2000
159;1990-1993
160;1991-1992
161;1984-1985
162;1984-????
163;1991-????
164;1990-????
165;1991-????
166;1982-1983
167;1998-????
168;1995-????
169;1992-????
170;1981-1983
171;1987-1988
172;1981-1982
173;1997-????
174;1985-????
175;1988-????
176;1997-????
177;1992-2004
178;1996-????
179;1986-????
180;1995-????
181;1994-????
182;1992-????
183;1989-????
184;1982-1984
185;1986-1990
186;1993-????
187;1994-????
188;1989-1990
189;1986-????
190;1998-????
191;1991-????
192;1998-????
193;1993-????
194;1996-????
195;1983-????
196;1988-1991
197;1999-????
198;1991-????
199;1997-????
200;1999-????
201;1990-????
202;1990-????
